default,student,balance,income
No,No,729.52650,44361.625
No,Yes,817.18041,12106.135
No,No,1073.54916,31767.139
No,No,529.25060,35704.494
No,No,785.65588,38463.496
No,Yes,919.58853,7491.559
No,No,825.51333,24905.227
No,Yes,808.66750,17600.451
No,No,1161.05785,37468.529
No,No,0.00000,29275.268
No,Yes,0.00000,21871.073
No,Yes,1220.58375,13268.562
No,No,237.04511,28251.695
No,No,606.74234,44994.556
No,No,1112.96840,23810.174
No,No,286.23256,45042.413
No,No,0.00000,50265.312
No,Yes,527.54018,17636.540
No,No,485.93686,61566.106
No,No,1095.07274,26464.631
No,No,228.95255,50500.182
No,No,954.26179,32457.509
No,No,1055.95660,51317.883
No,No,641.98439,30466.103
No,No,773.21172,34353.314
No,No,855.00852,25211.332
No,No,642.99974,41473.512
No,No,1454.86327,32189.095
No,No,615.70428,39376.395
No,Yes,1119.56935,16556.070
No,No,494.81623,54384.783
No,Yes,448.88066,15799.470
No,Yes,584.90489,22429.935
No,No,913.58717,46907.225
No,Yes,1423.93892,22634.488
No,Yes,1499.72466,13190.653
No,No,692.03417,47806.612
No,No,351.45347,35087.489
No,No,742.62762,37864.824
No,No,653.11840,39489.595
No,No,872.13868,41787.567
No,No,837.26262,51471.772
No,No,1151.63057,42917.470
No,Yes,220.55561,16872.948
No,Yes,1690.23441,19052.572
No,No,408.77291,54206.939
No,No,1238.61032,50066.681
No,No,1228.30835,37408.504
No,No,820.91920,47746.542
No,No,857.48512,31688.346
No,No,563.61818,42641.253
No,Yes,1282.97253,13120.636
No,Yes,1505.78267,26557.141
No,Yes,904.04026,16882.301
No,No,0.00000,49956.581
No,Yes,1294.49735,10464.321
No,Yes,1275.55063,15887.468
No,No,1536.59460,48766.907
No,No,1332.52264,39143.137
No,No,492.07977,33379.095
No,No,766.23438,46478.294
No,No,690.12725,63432.984
No,No,0.00000,32481.540
No,No,1480.65531,36866.157
No,No,989.05560,45344.251
No,No,1302.34184,33695.426
No,No,1044.55234,54696.766
No,No,0.00000,43658.228
No,No,866.02844,38363.422
No,No,690.80079,48140.471
No,No,597.75714,31577.615
No,No,429.48540,51311.218
No,No,1398.15620,39644.942
No,Yes,1578.06410,19886.494
No,No,857.06905,26655.689
No,Yes,752.45995,16211.276
No,Yes,774.73843,15193.733
No,No,728.37325,45131.718
No,No,76.99129,28392.093
No,No,196.45691,41346.786
No,Yes,948.74792,14297.619
No,No,431.92089,39369.882
No,No,461.63818,46221.211
No,No,572.01576,33046.313
No,No,335.56814,51258.444
No,No,510.23759,60397.719
No,Yes,1005.16131,24038.652
No,Yes,162.45445,13241.752
No,No,932.53316,50537.466
No,Yes,893.33047,11905.682
No,No,1332.78256,44495.163
No,No,1404.38307,35043.106
No,Yes,1148.96514,16578.192
No,No,368.22343,57596.826
No,No,449.46663,45950.667
No,No,820.01711,51584.657
No,Yes,619.75187,15750.622
No,No,1047.71812,46416.971
No,No,243.84133,47193.888
No,No,186.50039,45430.550
No,No,1422.01849,38224.032
No,No,383.79866,61425.286
No,No,1159.43510,45802.105
No,No,882.99191,17181.738
No,No,1463.23289,65457.854
No,Yes,1722.35585,19311.423
No,Yes,773.92186,14558.912
No,No,958.16942,32816.285
No,No,1207.53273,68037.575
No,No,1056.61083,30546.601
No,No,117.64248,46550.267
No,No,596.96412,58088.360
No,No,0.00000,47729.626
No,Yes,541.66276,16335.703
No,No,1119.17830,45020.019
No,Yes,810.32094,20498.666
No,No,271.55144,32850.120
No,No,1114.40324,47714.022
No,No,867.03083,33540.980
No,Yes,1176.78940,17632.712
No,No,610.22782,42465.363
No,No,272.61566,55449.339
No,No,449.73509,49643.426
No,Yes,827.76721,10673.526
No,No,430.00010,33925.220
No,No,0.00000,31825.765
No,Yes,1557.34464,18404.594
No,No,928.23697,33722.159
No,No,1373.45016,49101.798
No,Yes,951.07291,18601.533
No,Yes,1292.21087,23065.851
No,No,582.18870,24760.796
No,Yes,339.42464,19307.980
No,No,409.98232,44641.090
No,No,1216.45151,53639.847
No,No,598.46139,44124.268
Yes,Yes,1486.99812,17854.397
No,No,943.79634,59976.840
No,No,0.00000,49525.745
No,Yes,996.27609,20883.241
No,Yes,748.30134,11248.671
No,No,324.73792,15411.519
No,Yes,575.38216,16005.681
No,No,441.73828,36012.236
No,No,1188.64218,39526.561
No,No,95.14768,51371.200
No,No,1015.61484,43218.794
No,No,1258.56739,44931.675
No,Yes,1178.24441,7750.289
No,No,731.53266,43956.060
No,No,350.08879,44455.200
No,No,418.84835,36901.783
No,No,533.22947,39393.542
No,No,95.29697,32359.389
No,Yes,1453.00593,15933.002
No,No,352.64441,39404.744
No,Yes,736.23894,14107.994
No,No,1306.48457,41224.625
No,No,1149.14563,45194.795
No,No,703.22689,57679.279
No,Yes,1360.80044,18864.308
No,No,31.44508,53287.350
No,No,988.21446,48570.363
No,No,360.01907,23927.547
No,No,647.48353,33226.278
No,Yes,0.00000,9816.789
No,No,445.24182,31974.625
No,Yes,878.54206,17496.741
No,Yes,335.83412,21759.870
No,No,666.60888,30438.469
No,No,813.87665,40737.460
No,No,836.30007,54607.179
No,No,967.48268,33055.110
Yes,Yes,2205.79952,14271.492
No,Yes,1258.18522,11672.222
No,No,1239.80170,40107.172
No,Yes,0.00000,13760.298
No,Yes,927.88773,22473.380
No,Yes,1390.03078,21299.099
No,No,410.49770,53471.214
No,No,73.07654,30681.738
No,No,790.59776,45303.103
No,No,789.49510,32579.900
No,No,791.36042,46319.236
No,No,479.04238,37255.880
No,No,888.61327,28899.792
No,No,1284.38636,42831.955
No,Yes,712.27635,23341.950
No,Yes,1290.62017,18408.049
No,No,126.36269,44280.930
No,No,779.37626,61158.885
No,No,697.49096,49476.760
No,No,606.97461,43610.033
No,Yes,1802.90333,21411.424
No,No,900.08533,41276.563
No,No,966.28029,33440.979
No,No,671.06136,35689.112
No,No,171.55912,23505.993
No,No,1482.48030,45260.612
No,No,640.66275,46464.566
