dteday,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,casual,registered
23/9/2012,9,0,0,0,0,1,0.62,0.6212,34,146
23/9/2012,9,1,0,0,0,1,0.54,0.5152,23,119
23/9/2012,9,2,0,0,0,1,0.52,0.5,18,77
23/9/2012,9,3,0,0,0,1,0.48,0.4697,13,41
23/9/2012,9,4,0,0,0,1,0.46,0.4545,1,9
23/9/2012,9,5,0,0,0,1,0.46,0.4545,1,5
23/9/2012,9,6,0,0,0,1,0.44,0.4394,5,11
23/9/2012,9,7,0,0,0,1,0.46,0.4545,9,48
23/9/2012,9,8,0,0,0,1,0.48,0.4697,38,137
23/9/2012,9,9,0,0,0,1,0.5,0.4848,71,205
23/9/2012,9,10,0,0,0,1,0.54,0.5152,138,351
23/9/2012,9,11,0,0,0,1,0.56,0.5303,186,384
23/9/2012,9,12,0,0,0,1,0.56,0.5303,250,526
23/9/2012,9,13,0,0,0,1,0.6,0.6212,257,445
23/9/2012,9,14,0,0,0,1,0.6,0.6212,266,400
23/9/2012,9,15,0,0,0,1,0.6,0.6212,265,375
23/9/2012,9,16,0,0,0,1,0.6,0.6212,254,437
23/9/2012,9,17,0,0,0,1,0.56,0.5303,227,496
23/9/2012,9,18,0,0,0,1,0.54,0.5152,135,405
23/9/2012,9,19,0,0,0,1,0.52,0.5,82,331
23/9/2012,9,20,0,0,0,1,0.52,0.5,60,192
23/9/2012,9,21,0,0,0,2,0.52,0.5,51,145
23/9/2012,9,22,0,0,0,1,0.52,0.5,40,98
23/9/2012,9,23,0,0,0,2,0.5,0.4848,30,70
24/9/2012,9,0,0,1,1,1,0.46,0.4545,10,54
24/9/2012,9,1,0,1,1,1,0.46,0.4545,6,12
24/9/2012,9,2,0,1,1,2,0.46,0.4545,0,8
24/9/2012,9,3,0,1,1,1,0.46,0.4545,0,5
24/9/2012,9,4,0,1,1,1,0.44,0.4394,0,8
24/9/2012,9,5,0,1,1,1,0.46,0.4545,2,35
24/9/2012,9,6,0,1,1,1,0.46,0.4545,6,162
24/9/2012,9,7,0,1,1,1,0.46,0.4545,17,513
24/9/2012,9,8,0,1,1,1,0.5,0.4848,31,719
24/9/2012,9,9,0,1,1,1,0.52,0.5,42,286
24/9/2012,9,10,0,1,1,1,0.54,0.5152,52,146
24/9/2012,9,11,0,1,1,1,0.56,0.5303,71,167
24/9/2012,9,12,0,1,1,1,0.56,0.5303,77,265
24/9/2012,9,13,0,1,1,1,0.6,0.6212,80,248
24/9/2012,9,14,0,1,1,1,0.6,0.6061,77,226
24/9/2012,9,15,0,1,1,1,0.6,0.6212,84,216
24/9/2012,9,16,0,1,1,1,0.58,0.5455,99,417
24/9/2012,9,17,0,1,1,1,0.58,0.5455,89,809
24/9/2012,9,18,0,1,1,1,0.54,0.5152,95,758
24/9/2012,9,19,0,1,1,1,0.52,0.5,56,534
24/9/2012,9,20,0,1,1,1,0.52,0.5,52,380
24/9/2012,9,21,0,1,1,1,0.5,0.4848,26,230
24/9/2012,9,22,0,1,1,1,0.5,0.4848,18,154
24/9/2012,9,23,0,1,1,1,0.46,0.4545,11,83
25/9/2012,9,0,0,2,1,1,0.46,0.4545,8,56
25/9/2012,9,1,0,2,1,1,0.44,0.4394,2,11
25/9/2012,9,2,0,2,1,1,0.42,0.4242,5,9
25/9/2012,9,3,0,2,1,1,0.42,0.4242,2,3
25/9/2012,9,4,0,2,1,1,0.42,0.4242,2,7
25/9/2012,9,5,0,2,1,1,0.42,0.4242,1,46
25/9/2012,9,6,0,2,1,1,0.44,0.4394,5,189
25/9/2012,9,7,0,2,1,1,0.44,0.4394,17,539
25/9/2012,9,8,0,2,1,1,0.48,0.4697,41,764
25/9/2012,9,9,0,2,1,1,0.54,0.5152,28,381
25/9/2012,9,10,0,2,1,1,0.56,0.5303,45,125
25/9/2012,9,11,0,2,1,1,0.6,0.6212,63,155
25/9/2012,9,12,0,2,1,1,0.62,0.6212,69,233
25/9/2012,9,13,0,2,1,1,0.64,0.6212,48,257
25/9/2012,9,14,0,2,1,1,0.66,0.6212,80,213
25/9/2012,9,15,0,2,1,1,0.66,0.6212,56,247
25/9/2012,9,16,0,2,1,1,0.66,0.6212,59,436
25/9/2012,9,17,0,2,1,1,0.66,0.6212,107,860
25/9/2012,9,18,0,2,1,1,0.64,0.6212,64,758
25/9/2012,9,19,0,2,1,1,0.62,0.6212,49,490
25/9/2012,9,20,0,2,1,1,0.6,0.6212,37,388
25/9/2012,9,21,0,2,1,1,0.6,0.6212,34,263
25/9/2012,9,22,0,2,1,1,0.6,0.6212,14,174
25/9/2012,9,23,0,2,1,1,0.6,0.6212,9,89
26/9/2012,9,0,0,3,1,1,0.58,0.5455,6,34
26/9/2012,9,1,0,3,1,1,0.58,0.5455,10,19
26/9/2012,9,2,0,3,1,2,0.58,0.5455,2,15
26/9/2012,9,3,0,3,1,2,0.58,0.5455,4,6
26/9/2012,9,4,0,3,1,1,0.56,0.5303,2,12
26/9/2012,9,5,0,3,1,1,0.56,0.5303,1,35
26/9/2012,9,6,0,3,1,1,0.54,0.5152,3,179
26/9/2012,9,7,0,3,1,1,0.54,0.5152,9,523
26/9/2012,9,8,0,3,1,1,0.56,0.5303,30,808
26/9/2012,9,9,0,3,1,1,0.6,0.6061,27,307
26/9/2012,9,10,0,3,1,1,0.6,0.5909,29,156
26/9/2012,9,11,0,3,1,1,0.64,0.6212,46,181
26/9/2012,9,12,0,3,1,1,0.68,0.6364,56,260
26/9/2012,9,13,0,3,1,1,0.7,0.6515,67,273
26/9/2012,9,14,0,3,1,1,0.74,0.6667,60,217
26/9/2012,9,15,0,3,1,1,0.74,0.6667,69,231
26/9/2012,9,16,0,3,1,1,0.74,0.6667,71,397
26/9/2012,9,17,0,3,1,1,0.74,0.6667,77,876
26/9/2012,9,18,0,3,1,1,0.74,0.6667,69,815
26/9/2012,9,19,0,3,1,1,0.7,0.6515,38,589
26/9/2012,9,20,0,3,1,1,0.66,0.6212,45,389
26/9/2012,9,21,0,3,1,1,0.66,0.6212,32,328
26/9/2012,9,22,0,3,1,3,0.62,0.6061,21,194
26/9/2012,9,23,0,3,1,2,0.6,0.5758,13,102
27/9/2012,9,0,0,4,1,1,0.6,0.5758,5,60
27/9/2012,9,1,0,4,1,1,0.6,0.5758,5,16
27/9/2012,9,2,0,4,1,1,0.6,0.5758,3,13
27/9/2012,9,3,0,4,1,1,0.6,0.5758,0,7
27/9/2012,9,4,0,4,1,1,0.56,0.5303,2,6
27/9/2012,9,5,0,4,1,1,0.58,0.5455,2,64
27/9/2012,9,6,0,4,1,1,0.56,0.5303,5,164
27/9/2012,9,7,0,4,1,1,0.6,0.5758,12,546
27/9/2012,9,8,0,4,1,1,0.62,0.6061,20,774
27/9/2012,9,9,0,4,1,1,0.66,0.6212,30,305
27/9/2012,9,10,0,4,1,2,0.7,0.6515,40,168
27/9/2012,9,11,0,4,1,2,0.72,0.6667,67,227
27/9/2012,9,12,0,4,1,2,0.74,0.6667,63,272
27/9/2012,9,13,0,4,1,2,0.74,0.6667,61,265
27/9/2012,9,14,0,4,1,2,0.76,0.6818,44,214
27/9/2012,9,15,0,4,1,2,0.76,0.6818,41,255
27/9/2012,9,16,0,4,1,2,0.72,0.6667,73,399
27/9/2012,9,17,0,4,1,2,0.66,0.6212,87,818
27/9/2012,9,18,0,4,1,2,0.66,0.6212,77,822
27/9/2012,9,19,0,4,1,1,0.66,0.6212,48,511
27/9/2012,9,20,0,4,1,2,0.64,0.6061,45,412
27/9/2012,9,21,0,4,1,3,0.62,0.5758,18,235
27/9/2012,9,22,0,4,1,3,0.62,0.5758,2,45
27/9/2012,9,23,0,4,1,3,0.62,0.5758,1,44
28/9/2012,9,0,0,5,1,3,0.6,0.5455,2,15
28/9/2012,9,1,0,5,1,3,0.6,0.5455,0,13
28/9/2012,9,2,0,5,1,3,0.6,0.5455,1,9
28/9/2012,9,3,0,5,1,2,0.6,0.5606,0,7
28/9/2012,9,4,0,5,1,3,0.56,0.5303,2,10
28/9/2012,9,5,0,5,1,1,0.56,0.5303,1,37
28/9/2012,9,6,0,5,1,2,0.56,0.5303,2,136
28/9/2012,9,7,0,5,1,2,0.56,0.5303,10,384
28/9/2012,9,8,0,5,1,1,0.6,0.5606,31,674
28/9/2012,9,9,0,5,1,2,0.62,0.5758,27,399
28/9/2012,9,10,0,5,1,2,0.64,0.5909,51,194
28/9/2012,9,11,0,5,1,2,0.66,0.6212,109,252
28/9/2012,9,12,0,5,1,2,0.7,0.6515,94,286
28/9/2012,9,13,0,5,1,2,0.7,0.6515,106,304
28/9/2012,9,14,0,5,1,2,0.7,0.6515,105,294
28/9/2012,9,15,0,5,1,2,0.68,0.6364,104,288
28/9/2012,9,16,0,5,1,2,0.66,0.6212,83,419
28/9/2012,9,17,0,5,1,2,0.66,0.6212,101,707
28/9/2012,9,18,0,5,1,2,0.64,0.6212,58,609
28/9/2012,9,19,0,5,1,3,0.62,0.6212,38,470
28/9/2012,9,20,0,5,1,3,0.6,0.6212,32,304
28/9/2012,9,21,0,5,1,3,0.6,0.6212,32,205
28/9/2012,9,22,0,5,1,2,0.58,0.5455,30,190
28/9/2012,9,23,0,5,1,2,0.56,0.5303,26,164
29/9/2012,9,0,0,6,0,1,0.54,0.5152,15,134
29/9/2012,9,1,0,6,0,1,0.54,0.5152,12,89
29/9/2012,9,2,0,6,0,2,0.54,0.5152,12,80
29/9/2012,9,3,0,6,0,2,0.52,0.5,4,25
29/9/2012,9,4,0,6,0,1,0.52,0.5,6,8
29/9/2012,9,5,0,6,0,1,0.5,0.4848,2,13
29/9/2012,9,6,0,6,0,1,0.5,0.4848,4,33
29/9/2012,9,7,0,6,0,1,0.48,0.4697,12,61
29/9/2012,9,8,0,6,0,1,0.5,0.4848,37,174
29/9/2012,9,9,0,6,0,1,0.5,0.4848,69,263
29/9/2012,9,10,0,6,0,1,0.54,0.5152,134,338
29/9/2012,9,11,0,6,0,1,0.56,0.5303,217,446
29/9/2012,9,12,0,6,0,1,0.62,0.6212,191,491
29/9/2012,9,13,0,6,0,1,0.62,0.6212,233,453
29/9/2012,9,14,0,6,0,1,0.6,0.6212,302,448
29/9/2012,9,15,0,6,0,1,0.6,0.6212,271,456
29/9/2012,9,16,0,6,0,1,0.62,0.6212,275,447
29/9/2012,9,17,0,6,0,1,0.6,0.6212,256,456
29/9/2012,9,18,0,6,0,1,0.56,0.5303,174,420
29/9/2012,9,19,0,6,0,1,0.52,0.5,119,351
29/9/2012,9,20,0,6,0,1,0.52,0.5,88,227
29/9/2012,9,21,0,6,0,1,0.52,0.5,73,219
29/9/2012,9,22,0,6,0,1,0.5,0.4848,48,173
29/9/2012,9,23,0,6,0,1,0.5,0.4848,35,161
30/9/2012,9,0,0,0,0,1,0.5,0.4848,35,112
30/9/2012,9,1,0,0,0,1,0.5,0.4848,31,85
30/9/2012,9,2,0,0,0,1,0.48,0.4697,21,71
30/9/2012,9,3,0,0,0,1,0.46,0.4545,17,41
30/9/2012,9,4,0,0,0,1,0.46,0.4545,1,6
30/9/2012,9,5,0,0,0,1,0.44,0.4394,1,9
30/9/2012,9,6,0,0,0,1,0.44,0.4394,2,20
30/9/2012,9,7,0,0,0,1,0.44,0.4394,14,43
30/9/2012,9,8,0,0,0,1,0.48,0.4697,18,126
30/9/2012,9,9,0,0,0,1,0.52,0.5,74,211
30/9/2012,9,10,0,0,0,1,0.58,0.5455,160,319
30/9/2012,9,11,0,0,0,1,0.6,0.6212,222,369
30/9/2012,9,12,0,0,0,1,0.62,0.6212,206,474
30/9/2012,9,13,0,0,0,1,0.62,0.6212,180,414
30/9/2012,9,14,0,0,0,1,0.62,0.6212,208,404
30/9/2012,9,15,0,0,0,1,0.64,0.6212,230,419
30/9/2012,9,16,0,0,0,1,0.64,0.6212,202,446
30/9/2012,9,17,0,0,0,1,0.62,0.6212,195,380
30/9/2012,9,18,0,0,0,1,0.52,0.5,91,310
30/9/2012,9,19,0,0,0,3,0.5,0.4848,34,223
30/9/2012,9,20,0,0,0,3,0.5,0.4848,31,163
30/9/2012,9,21,0,0,0,1,0.5,0.4848,19,104
30/9/2012,9,22,0,0,0,1,0.48,0.4697,15,76
30/9/2012,9,23,0,0,0,1,0.48,0.4697,8,49
1/10/2012,10,0,0,1,1,1,0.46,0.4545,6,39
1/10/2012,10,1,0,1,1,1,0.44,0.4394,5,13
1/10/2012,10,2,0,1,1,1,0.46,0.4545,6,6
1/10/2012,10,3,0,1,1,1,0.44,0.4394,1,6
1/10/2012,10,4,0,1,1,1,0.42,0.4242,0,10
1/10/2012,10,5,0,1,1,1,0.44,0.4394,2,34
1/10/2012,10,6,0,1,1,1,0.44,0.4394,8,147
1/10/2012,10,7,0,1,1,1,0.44,0.4394,13,470
1/10/2012,10,8,0,1,1,2,0.46,0.4545,40,744
1/10/2012,10,9,0,1,1,2,0.52,0.5,26,314
1/10/2012,10,10,0,1,1,1,0.54,0.5152,44,135
1/10/2012,10,11,0,1,1,1,0.58,0.5455,76,196
1/10/2012,10,12,0,1,1,2,0.6,0.6212,61,262
1/10/2012,10,13,0,1,1,2,0.6,0.6212,80,225
1/10/2012,10,14,0,1,1,2,0.6,0.6212,51,193
1/10/2012,10,15,0,1,1,2,0.62,0.6212,95,234
1/10/2012,10,16,0,1,1,2,0.62,0.6212,51,408
1/10/2012,10,17,0,1,1,3,0.56,0.5303,65,791
1/10/2012,10,18,0,1,1,3,0.56,0.5303,42,571
1/10/2012,10,19,0,1,1,2,0.54,0.5152,33,483
1/10/2012,10,20,0,1,1,3,0.54,0.5152,11,251
1/10/2012,10,21,0,1,1,2,0.54,0.5152,13,205
1/10/2012,10,22,0,1,1,3,0.54,0.5152,17,190
1/10/2012,10,23,0,1,1,3,0.54,0.5152,17,88
