Day of Week,Director,Genre,Movie Title,Release Date,Studio,IMDb Rating,MovieLens Rating
Friday,Brad Bird,action,Tomorrowland,22/5/2015,Buena Vista Studios,6.7,3.26
Friday,Scott Waugh,action,Need for Speed,14/3/2014,Buena Vista Studios,6.6,2.97
Friday,Patrick Hughes,action,The Expendables 3,15/8/2014,Lionsgate,6.1,2.93
Friday,"Phil Lord, Chris Miller",comedy,21 Jump Street,16/3/2012,Sony,7.2,3.62
Friday,Roland Emmerich,action,White House Down,28/6/2013,Sony,8,3.65
Friday,David Ayer,action,Fury,17/10/2014,Sony,5.8,2.85
Thursday,Rob Marshall,adventure,Into the Woods,25/12/2014,Buena Vista Studios,6,3.16
Friday,Daniel Espinosa,action,Safe House,10/2/2012,Universal,6.8,3.45
Friday,Gary Shore,action,Dracula Untold,10/10/2014,Universal,6.3,2.92
Friday,"Henry Joost, Ariel Schulman",horror,Paranormal Activity 3,21/10/2011,Paramount Pictures,5.9,2.9
Friday,Eric Brevig,animation,Yogi Bear,17/12/2010,WB,4.5,2.17
Friday,Morten Tyldum,biography,The Imitation Game,28/11/2014,Weinstein Company,8.1,4
Thursday,Bryan Singer,biography,Valkyrie,25/12/2008,UA Entertainment,7.1,3.44
Friday,Seth Gordon,comedy,Horrible Bosses,8/7/2011,WB/New Line,6.9,3.37
Friday,Ryan Murphy,drama,Eat Pray Love,13/8/2010,Sony,5.6,2.84
Friday,Paul Greengrass,drama,Captain Phillips,11/10/2013,Sony,7.9,3.84
Friday,Hayao Miyazaki,animation,Ponyo,14/8/2009,Buena Vista Studios,7.7,3.82
Friday,Jaume Collet-Serra,action,Non-Stop,28/2/2014,Universal,7,3.4
Friday,Jonathan Liebesman,action,Battle: Los Angeles,11/3/2011,Sony,7.6,3.65
Friday,Christopher McQuarrie,action,Jack Reacher,21/12/2012,Paramount Pictures,7,3.46
Friday,Dennis Dugan,comedy,Just Go With It,11/2/2011,Sony,6.4,3.17
Friday,Robert Luketic,comedy,The Ugly Truth,24/7/2009,Sony,6.5,3.21
Friday,Jake Kasdan,comedy,Bad Teacher,24/6/2011,Sony,5.7,2.96
Wednesday,Tate Taylor,drama,The Help,10/8/2011,Buena Vista Studios,8.1,3.93
Friday,Todd Phillips,comedy,Due Date,5/11/2010,WB,6.6,3.17
Friday,Tommy Wirkola,action,Hansel and Gretel: Witch Hunters,25/1/2013,Paramount Pictures,6.1,2.9
Friday,Adam Shankman,musical,Hairspray (2007),20/7/2007,New Line Cinema,6.8,3.44
Friday,Martin Campbell,action,Green Lantern,17/6/2011,WB,5.7,2.87
Wednesday,Baz Luhrmann,adventure,Australia,26/11/2008,Fox,7.6,3.5
Friday,Neill Blomkamp,sci-fi,District 9,14/8/2009,TriStar,8,3.87
Friday,Paul Feig,action,The Heat,28/6/2013,Fox,6.6,4.07
Wednesday,Jon Turteltaub,action,The Sorcerer's Apprentice,14/7/2010,Buena Vista Studios,7.1,3.48
Thursday,Adam Shankman,comedy,Bedtime Stories,25/12/2008,Buena Vista Studios,6.1,3.12
Friday,Garry Marshall,comedy,Valentine's Day,12/2/2010,WB,5.8,3
Wednesday,Michael Mann,biography,Public Enemies,1/7/2009,Universal,7,3.36
Friday,Brian Grant,crime,Immortals,11/11/2011,Relativity Media,6.1,2.93
Friday,Ben Affleck,drama,Argo,12/10/2012,WB,7.8,3.9
Friday,Michel Gondry,action,The Green Hornet,14/1/2011,Sony,5.9,2.97
Friday,Peyton Reed,comedy,The Break-Up,2/6/2006,Universal,5.8,2.94
Friday,Nancy Meyers,comedy,The Holiday,8/12/2006,Sony,6.9,3.53
Friday,Tom Vaughan,comedy,What Happens in Vegas,9/5/2008,Fox,7.3,3.51
Friday,Nancy Meyers,comedy,It's Complicated,25/12/2009,Universal,6.6,2.5
Friday,"Hayden Schlossberg, Jon Hurwitz",comedy,American Reunion,6/4/2012,Universal,6.8,3.17
Wednesday,Jose Padilha,sci-fi,RoboCop,12/2/2014,Sony,7.1,3.34
Friday,Klay Hall,animation,Planes,9/8/2013,Buena Vista Studios,5.7,2.86
Friday,Brett Ratner,action,Hercules (2015),25/7/2014,Paramount Pictures,6.1,3.33
Friday,David O. Russell,romance,Silver Linings Playbook,16/11/2012,Weinstein Company,7.8,3.86
Friday,David Fincher,biography,The Social Network,1/10/2010,Sony,7.8,3.67
Thursday,Doug Liman,action,Jumper,14/2/2008,Fox,6.1,2.98
Tuesday,David Fincher,crime,The Girl with the Dragon Tattoo (2011),20/12/2011,Sony,7.9,3.87
Wednesday,Dean Parisot,comedy,Fun with Dick and Jane,21/12/2005,Sony,6.1,3
Friday,Peyton Reed,comedy,Yes Man,19/12/2008,WB,6.9,3.46
Friday,Chris Columbus,fantasy,Percy Jackson & The Olympians: The Lightning Thief,12/2/2010,Fox,5.9,3.01
Friday,Paul W.S. Anderson,action,Resident Evil: Retribution,14/9/2012,Screen Gems,5.3,3
Friday,M. Night Shyamalan,action,After Earth,31/5/2013,Sony,4.9,2.43
Friday,Judd Apatow,comedy,Knocked Up,1/6/2007,Universal,7.1,3.59
Friday,Pierre Morel,action,Taken,30/1/2009,Fox,7.9,3.85
Friday,Dennis Dugan,comedy,Grown Ups 2,12/7/2013,Sony,5.4,2.34
Friday,Peter Hewitt,comedy,Garfield: The Movie,11/6/2004,Fox,4.9,2.27
Friday,Tim Burton,comedy,Dark Shadows,11/5/2012,WB,6.2,3.03
Friday,Peter Segal,action,Get Smart,20/6/2008,WB,6.5,3.27
Wednesday,Antoine Fuqua,action,King Arthur,7/7/2004,Buena Vista Studios,6.3,3.05
Friday,David O. Russell,drama,American Hustle,13/12/2013,Sony,6.3,2.81
Friday,John R. Leonetti,horror,Annabelle,3/10/2014,WB/New Line,5.4,2.41
Friday,Scott Derrickson,drama,The Day the Earth Stood Still (2008),12/12/2008,Fox,5.5,2.81
Friday,Ridley Scott,action,Kingdom of Heaven,6/5/2005,Fox,7.2,3.47
Saturday,Rob Letterman,adventure,Gulliver's Travels,25/12/2010,Fox,4.9,2.53
Friday,Paul King,comedy,Paddington,16/1/2015,StudioCanal,7.3,2.89
Friday,Gore Verbinski,animation,Rango,4/3/2011,Paramount Pictures,7.3,3.51
Friday,Mark Steven Johnson,action,Ghost Rider,16/2/2007,Sony,5.2,2.19
Friday,Brad Silberling,adventure,Lemony Snicket's A Series of Unfortunate Events,17/12/2004,Paramount Pictures,6.8,3.37
Friday,Steve Bendelack,comedy,Mr. Bean's Holiday,24/8/2007,Universal,6.3,2.84
Wednesday,Jason Reitman,comedy,Juno,5/12/2007,Fox Searchlight Pictures,6.3,2.97
Tuesday,Gore Verbinski,action,The Lone Ranger,2/7/2013,Buena Vista Studios,6.5,3.03
Friday,Pete Docter,animation,Inside Out,19/6/2015,Buena Vista Studios,8.8,4.15
Friday,Eric Brevig,action,Journey to the Center of the Earth,11/7/2008,WB/New Line,5.8,2.87
Thursday,David Frankel,comedy,Marley and Me,25/12/2008,Fox,6.2,2.96
Friday,Clark Johnson,action,S.W.A.T.,8/8/2003,Sony,6,3.01
Friday,Martin Scorsese,biography,The Aviator,17/12/2004,MiraMax,7.5,3.61
Friday,Ridley Scott,action,Exodus: Gods and Kings,12/12/2014,Fox,6.1,2.66
Friday,"Phil Lord, Chris Miller",animation,Cloudy with a Chance of Meatballs,18/9/2009,Sony,7,3.49
Friday,Nicholas Stoller,comedy,Neighbors,9/5/2014,Universal,6.4,3.09
Wednesday,Lawrence Guterman,action,Cats & Dogs,4/7/2001,WB,5.2,2.7
Wednesday,Dany Boon,drama,Bienvenue chez les Ch'tis,20/2/2008,Path_ Distribution,7.1,3.75
Friday,Robert Schwentke,action,Flightplan,23/9/2005,Buena Vista Studios,6.2,3.08
Wednesday,Clint Eastwood,drama,Million Dollar Baby,15/12/2004,WB,8.1,3.87
Friday,Cameron Crowe,mystery,Vanilla Sky,14/12/2001,Paramount Pictures,6.9,3.36
Friday,Peter Weir,action,Master and Commander: The Far Side of the World,14/11/2003,Fox,7.4,3.64
Friday,Chris Wedge,animation,Epic,24/5/2013,Fox,6.7,1.49
Friday,Rob Minkoff,animation,Mr. Peabody & Sherman,7/3/2014,Fox,6.9,3.4
Friday,Michael Mann,crime,Collateral,6/8/2004,DreamWorks,7.6,3.7
Thursday,J. J. Abrams,thriller,Super 8,9/6/2011,Paramount Pictures,7.1,3.53
Wednesday,"Ethan Coen, Joel Coen",adventure,True Grit,22/12/2010,Paramount Pictures,7.7,3.87
Wednesday,Rawson Marshall Thurber,comedy,We're the Millers,7/8/2013,WB,7.1,3.43
Friday,Steven Spielberg,drama,The Terminal,18/6/2004,DreamWorks,6.1,3.18
Friday,Brett Ratner,crime,Red Dragon,4/10/2002,Universal,7.2,3.57
Friday,Elizabeth Banks,comedy,Pitch Perfect 2,15/5/2015,Universal,6.9,3.3
Friday,Rob Cohen,action,The Fast and the Furious,22/6/2001,Universal,6.7,3.16
Friday,Kenny Ortega,comedy,High School Musical 3: Senior Year,24/10/2008,Buena Vista Studios,4.3,2.33
Wednesday,Michael Moore,documentary,Fahrenheit 9/11,23/6/2004,Lionsgate Films,7.5,3.57
Friday,"Cody Cameron, Kris Pearn",animation,Cloudy with a Chance of Meatballs 2,27/9/2013,Sony,6.5,3.21
Friday,Frank Coraci,comedy,Click,23/6/2006,Revolution Studios,6.4,3.11
