"Program","PriorExp","Rexperience","OperatingSystem","TVhours","Editor"
"IS","Some experience","Basic competence","Windows",20,"Microsoft Word"
"MARK","Some experience","Never used","Mac OS X",6,"Microsoft Word"
"MARK","Some experience","Never used","Mac OS X",10,"Microsoft Word"
"IS","Some experience","Basic competence","Mac OS X",2,"R Markdown"
"IS","Some experience","Installed on machine","Windows",0,"Microsoft Word"
"IS","Some experience","Basic competence","Mac OS X",10,"Microsoft Word"
"IS","Never programmed before","Installed on machine","Windows",15,"Microsoft Word"
"IS","Some experience","Basic competence","Windows",3,"Microsoft Word"
"IS","Some experience","Installed on machine","Windows",0,"Microsoft Word"
"IS","Some experience","Never used","Windows",0,"Microsoft Word"
"IS","Some experience","Never used","Windows",5,"Microsoft Word"
"IS","Some experience","Basic competence","Mac OS X",2,"Microsoft Word"
"FINA","Some experience","Never used","Mac OS X",10,"Microsoft Word"
"IS","Never programmed before","Installed on machine","Windows",40,"Microsoft Word"
"IS","Some experience","Never used","Windows",0,"Microsoft Word"
"MARK","Some experience","Basic competence","Windows",5,"LaTeX"
"IS","Some experience","Installed on machine","Windows",3,"Microsoft Word"
"IS","Some experience","Experienced","Windows",20,"Microsoft Word"
"IS","Some experience","Installed on machine","Windows",0,"Microsoft Word"
"IS","Some experience","Installed on machine","Windows",10,"LaTeX"
"FINA","Some experience","Basic competence","Windows",2,"Microsoft Word"
"MARK","Some experience","Never used","Windows",10,"Microsoft Word"
"MARK","Extensive experience","Basic competence","Windows",8,"LaTeX"
"IS","Some experience","Basic competence","Windows",8,"Microsoft Word"
"FINA","Some experience","Installed on machine","Windows",2,"Microsoft Word"
"IS","Some experience","Never used","Windows",12,"Microsoft Word"
"MARK","Some experience","Never used","Windows",5,"Microsoft Word"
"FINA","Some experience","Basic competence","Windows",6,"R Markdown"
"FINA","Some experience","Installed on machine","Windows",4,"Microsoft Word"
"IS","Some experience","Basic competence","Windows",4,"Microsoft Word"
"MARK","Some experience","Basic competence","Mac OS X",0,"Microsoft Word"
"FINA","Some experience","Installed on machine","Windows",5,"Microsoft Word"
"IS","Some experience","Never used","Windows",0,"Microsoft Word"
"IS","Some experience","Basic competence","Windows",0,"R Markdown"
"IS","Never programmed before","Installed on machine","Windows",0,"Microsoft Word"
"IS","Some experience","Never used","Mac OS X",4,"Microsoft Word"
"FINA","Some experience","Never used","Windows",2,"Microsoft Word"
"IS","Some experience","Never used","Windows",3,"Microsoft Word"
"IS","Some experience","Installed on machine","Windows",14,"Microsoft Word"
"IS","Some experience","Never used","Windows",0,"Microsoft Word"
"FINA","Some experience","Installed on machine","Windows",3,"Microsoft Word"
"IS","Some experience","Basic competence","Windows",7,"Microsoft Word"
"FINA","Never programmed before","Basic competence","Windows",0,"Microsoft Word"
"IS","Some experience","Basic competence","Windows",3,"Jupyter Notebook"
"IS","Some experience","Basic competence","Mac OS X",7,"Microsoft Word"
"FINA","Some experience","Basic competence","Windows",4,"Microsoft Word"
"IS","Some experience","Basic competence","Windows",5,"Microsoft Word"
"FINA","Some experience","Installed on machine","Mac OS X",1.5,"Microsoft Word"
"IS","Some experience","Installed on machine","Mac OS X",4,"Microsoft Word"
"FINA","Some experience","Installed on machine","Windows",10,"Microsoft Word"
"IS","Some experience","Never used","Windows",0,"Microsoft Word"
"IS","Some experience","Basic competence","Windows",0,"Microsoft Word"
"FINA","Some experience","Basic competence","Mac OS X",4,"Microsoft Word"
"FINA","Some experience","Basic competence","Windows",2,"Microsoft Word"
"IS","Never programmed before","Never used","Windows",0,"Microsoft Word"
"IS","Some experience","Installed on machine","Windows",0,"Microsoft Word"
"IS","Some experience","Basic competence","Windows",1,"Microsoft Word"
"FINA","Some experience","Never used","Windows",0,"Microsoft Word"
"IS","Some experience","Basic competence","Windows",2,"Microsoft Word"
"IS","Some experience","Basic competence","Windows",2,"Microsoft Word"
"IS","Never programmed before","Never used","Windows",0,"SPSS / Excel"
"FINA","Some experience","Experienced","Mac OS X",0.5,"LaTeX"
"IS","Extensive experience","Basic competence","Windows",6,"Microsoft Word"
"FINA","Some experience","Never used","Windows",3,"Microsoft Word"
"IS","Never programmed before","Never used","Windows",6,"Microsoft Word"
"IS","Some experience","Installed on machine","Windows",1,"LaTeX"
"MARK","Some experience","Basic competence","Windows",5,"Microsoft Word"
